source_video,frame_number,timestamp_seconds,marker_raw_present,marker_raw_confidence,power_adapter_raw_present,power_adapter_raw_confidence,marker_stable_present,power_adapter_stable_present,marker_window_positive_count,power_adapter_window_positive_count,temporal_window_frames,minimum_positive_frames
T_20260715_015858_798765.mp4,164,5.466667,False,0.0,False,0.0,False,False,0,0,5,3
T_20260715_015858_798765.mp4,165,5.5,False,0.0,False,0.0,False,False,0,0,5,3
T_20260715_015858_798765.mp4,166,5.533333,False,0.0,False,0.0,False,False,0,0,5,3
T_20260715_015858_798765.mp4,167,5.566667,False,0.0,False,0.0,False,False,0,0,5,3
T_20260715_015858_798765.mp4,168,5.6,False,0.0,False,0.0,False,False,0,0,5,3
T_20260715_015858_798765.mp4,169,5.633333,False,0.0,True,0.250231,False,False,0,1,5,3
T_20260715_015858_798765.mp4,170,5.666667,False,0.0,False,0.0,False,False,0,1,5,3
T_20260715_015858_798765.mp4,171,5.7,False,0.0,False,0.0,False,False,0,1,5,3
T_20260715_015858_798765.mp4,172,5.733333,False,0.0,False,0.0,False,False,0,1,5,3
T_20260715_015858_798765.mp4,173,5.766667,False,0.0,False,0.0,False,False,0,1,5,3
T_20260715_015858_798765.mp4,174,5.8,False,0.0,False,0.0,False,False,0,0,5,3
T_20260715_015858_798765.mp4,175,5.833333,False,0.0,False,0.0,False,False,0,0,5,3
T_20260715_015858_798765.mp4,176,5.866667,False,0.0,False,0.0,False,False,0,0,5,3
T_20260715_015858_798765.mp4,177,5.9,False,0.0,False,0.0,False,False,0,0,5,3
T_20260715_015858_798765.mp4,178,5.933333,False,0.0,True,0.269037,False,False,0,1,5,3
T_20260715_015858_798765.mp4,179,5.966667,False,0.0,False,0.0,False,False,0,1,5,3
T_20260715_015858_798765.mp4,180,6.0,False,0.0,False,0.0,False,False,0,1,5,3
T_20260715_015858_798765.mp4,181,6.033333,False,0.0,False,0.0,False,False,0,1,5,3
T_20260715_015858_798765.mp4,182,6.066667,False,0.0,False,0.0,False,False,0,1,5,3
T_20260715_015858_798765.mp4,183,6.1,False,0.0,True,0.251269,False,False,0,1,5,3
T_20260715_015858_798765.mp4,184,6.133333,False,0.0,False,0.0,False,False,0,1,5,3
T_20260715_015858_798765.mp4,185,6.166667,False,0.0,False,0.0,False,False,0,1,5,3
T_20260715_015858_798765.mp4,186,6.2,False,0.0,False,0.0,False,False,0,1,5,3
T_20260715_015858_798765.mp4,187,6.233333,False,0.0,False,0.0,False,False,0,1,5,3
T_20260715_015858_798765.mp4,188,6.266667,False,0.0,False,0.0,False,False,0,0,5,3
T_20260715_015858_798765.mp4,189,6.3,False,0.0,False,0.0,False,False,0,0,5,3
T_20260715_015858_798765.mp4,190,6.333333,False,0.0,False,0.0,False,False,0,0,5,3
T_20260715_015858_798765.mp4,191,6.366667,False,0.0,False,0.0,False,False,0,0,5,3
T_20260715_015858_798765.mp4,192,6.4,False,0.0,False,0.0,False,False,0,0,5,3
T_20260715_015858_798765.mp4,193,6.433333,False,0.0,False,0.0,False,False,0,0,5,3
T_20260715_015858_798765.mp4,194,6.466667,False,0.0,False,0.0,False,False,0,0,5,3
T_20260715_015858_798765.mp4,195,6.5,False,0.0,False,0.0,False,False,0,0,5,3
T_20260715_015858_798765.mp4,196,6.533333,False,0.0,False,0.0,False,False,0,0,5,3
T_20260715_015858_798765.mp4,197,6.566667,False,0.0,False,0.0,False,False,0,0,5,3
T_20260715_015858_798765.mp4,198,6.6,False,0.0,True,0.26308,False,False,0,1,5,3
T_20260715_015858_798765.mp4,199,6.633333,False,0.0,True,0.264488,False,False,0,2,5,3
T_20260715_015858_798765.mp4,200,6.666667,False,0.0,True,0.268663,False,True,0,3,5,3
T_20260715_015858_798765.mp4,201,6.7,False,0.0,True,0.268207,False,True,0,4,5,3
T_20260715_015858_798765.mp4,202,6.733333,False,0.0,True,0.2873,False,True,0,5,5,3
T_20260715_015858_798765.mp4,203,6.766667,False,0.0,True,0.270656,False,True,0,5,5,3
T_20260715_015858_798765.mp4,204,6.8,False,0.0,False,0.0,False,True,0,4,5,3
T_20260715_015858_798765.mp4,205,6.833333,False,0.0,True,0.259729,False,True,0,4,5,3
T_20260715_015858_798765.mp4,206,6.866667,False,0.0,True,0.261298,False,True,0,4,5,3
T_20260715_015858_798765.mp4,207,6.9,False,0.0,False,0.0,False,True,0,3,5,3
T_20260715_015858_798765.mp4,208,6.933333,False,0.0,True,0.258619,False,True,0,3,5,3
T_20260715_015858_798765.mp4,209,6.966667,False,0.0,True,0.267027,False,True,0,4,5,3
T_20260715_015858_798765.mp4,210,7.0,False,0.0,True,0.28149,False,True,0,4,5,3
T_20260715_015858_798765.mp4,211,7.033333,False,0.0,True,0.268901,False,True,0,4,5,3
T_20260715_015858_798765.mp4,212,7.066667,False,0.0,True,0.273188,False,True,0,5,5,3
T_20260715_015858_798765.mp4,213,7.1,False,0.0,True,0.260937,False,True,0,5,5,3
T_20260715_015858_798765.mp4,214,7.133333,False,0.0,False,0.0,False,True,0,4,5,3
T_20260715_015858_798765.mp4,215,7.166667,False,0.0,False,0.0,False,True,0,3,5,3
T_20260715_015858_798765.mp4,216,7.2,False,0.0,False,0.0,False,False,0,2,5,3
T_20260715_015858_798765.mp4,217,7.233333,False,0.0,True,0.26238,False,False,0,2,5,3
T_20260715_015858_798765.mp4,218,7.266667,False,0.0,False,0.0,False,False,0,1,5,3
T_20260715_015858_798765.mp4,219,7.3,False,0.0,True,0.270999,False,False,0,2,5,3
T_20260715_015858_798765.mp4,220,7.333333,False,0.0,True,0.266573,False,True,0,3,5,3
T_20260715_015858_798765.mp4,221,7.366667,False,0.0,True,0.282243,False,True,0,4,5,3
T_20260715_015858_798765.mp4,222,7.4,False,0.0,True,0.267283,False,True,0,4,5,3
T_20260715_015858_798765.mp4,223,7.433333,False,0.0,True,0.267088,False,True,0,5,5,3
T_20260715_015858_798765.mp4,224,7.466667,False,0.0,True,0.265139,False,True,0,5,5,3
T_20260715_015858_798765.mp4,225,7.5,False,0.0,True,0.272335,False,True,0,5,5,3
T_20260715_015858_798765.mp4,226,7.533333,False,0.0,True,0.272765,False,True,0,5,5,3
T_20260715_015858_798765.mp4,227,7.566667,False,0.0,True,0.264674,False,True,0,5,5,3
T_20260715_015858_798765.mp4,228,7.6,False,0.0,False,0.0,False,True,0,4,5,3
T_20260715_015858_798765.mp4,229,7.633333,False,0.0,False,0.0,False,True,0,3,5,3
T_20260715_015858_798765.mp4,230,7.666667,False,0.0,False,0.0,False,False,0,2,5,3
T_20260715_015858_798765.mp4,231,7.7,False,0.0,True,0.253082,False,False,0,2,5,3
T_20260715_015858_798765.mp4,232,7.733333,False,0.0,False,0.0,False,False,0,1,5,3
T_20260715_015858_798765.mp4,233,7.766667,False,0.0,False,0.0,False,False,0,1,5,3
T_20260715_015858_798765.mp4,234,7.8,False,0.0,False,0.0,False,False,0,1,5,3
T_20260715_015858_798765.mp4,235,7.833333,False,0.0,False,0.0,False,False,0,1,5,3
T_20260715_015858_798765.mp4,236,7.866667,False,0.0,False,0.0,False,False,0,0,5,3
